"日期","收支类型","类别","账户","金额","备注"
"2026年03月23日","收入","其它","未关联","10",""
"2026年03月23日","收入","代剪","未关联","30",""
"2026年03月22日","支出","餐饮","未关联","2","早餐"
"2026年03月22日","支出","餐饮","未关联","14","午餐"
"2026年03月22日","支出","餐饮","未关联","4.5","买水"
"2026年03月22日","支出","娱乐","未关联","0.57","刷播放3k"
"2026年03月22日","支出","餐饮","未关联","31","蛋糕加晚餐"
"2026年03月21日","支出","日用","未关联","45","话费"
"2026年03月21日","支出","餐饮","未关联","4","早餐"
"2026年03月21日","收入","代剪","未关联","25",""
"2026年03月21日","支出","餐饮","未关联","12.5","午餐"
"2026年03月21日","支出","餐饮","未关联","15.5","晚餐"
"2026年03月21日","收入","其它","未关联","5",""
"2026年03月21日","收入","其它","未关联","3",""
"2026年03月20日","收入","其它","未关联","6.55","好评"
"2026年03月20日","支出","餐饮","未关联","3.5","早餐"
"2026年03月20日","支出","餐饮","未关联","15","午餐"
"2026年03月20日","支出","购物","未关联","39.5","脱毛膏"
"2026年03月20日","支出","餐饮","未关联","13","奶茶"
"2026年03月20日","支出","餐饮","未关联","15","晚餐"
"2026年03月19日","支出","餐饮","未关联","4.5","早餐"
"2026年03月19日","支出","购物","未关联","30","买药膏"
"2026年03月19日","支出","餐饮","未关联","20.7","午餐"
"2026年03月19日","支出","购物","未关联","2.62","凳子静音"
"2026年03月19日","收入","其它","未关联","3",""
"2026年03月19日","支出","餐饮","未关联","14","晚餐"
"2026年03月19日","支出","餐饮","未关联","8","面包"
"2026年03月19日","支出","日用","未关联","3","洗衣机"
"2026年03月18日","支出","餐饮","未关联","4","早餐"
"2026年03月18日","支出","餐饮","未关联","14.5","午餐"
"2026年03月18日","收入","其它","未关联","15","代打通行证"
"2026年03月17日","支出","餐饮","未关联","3.99","奶茶"
"2026年03月17日","支出","餐饮","未关联","20.8","晚餐"
"2026年03月16日","收入","其它","未关联","10",""
"2026年03月16日","支出","购物","未关联","20","书费形势与政策"
"2026年03月16日","支出","餐饮","未关联","15",""
"2026年03月16日","支出","餐饮","未关联","14",""
"2026年03月16日","支出","餐饮","未关联","9.9",""
"2026年03月15日","支出","购物","未关联","0.32",""
"2026年03月15日","支出","餐饮","未关联","7","早餐"
"2026年03月15日","支出","餐饮","未关联","15.9","午餐"
"2026年03月15日","支出","购物","未关联","4.39","增高垫"
"2026年03月15日","支出","交通","未关联","3","共享电动车"
"2026年03月14日","支出","餐饮","未关联","7","早餐"
"2026年03月14日","支出","餐饮","未关联","15.5",""
"2026年03月13日","支出","餐饮","未关联","4","早餐"
"2026年03月13日","支出","餐饮","未关联","14.3","午餐"
"2026年03月13日","支出","餐饮","未关联","14","晚餐"
"2026年03月13日","收入","其它","未关联","3",""
"2026年03月13日","支出","购物","未关联","4.28","蒸汽眼罩"
"2026年03月13日","支出","购物","未关联","31","买凉席"
"2026年03月12日","支出","餐饮","未关联","2","早餐"
"2026年03月12日","支出","餐饮","未关联","4.5",""
"2026年03月12日","支出","餐饮","未关联","15","晚餐"
"2026年03月12日","收入","代剪","未关联","25",""
"2026年03月12日","支出","购物","未关联","35.9","维维豆奶"
"2026年03月11日","支出","餐饮","未关联","4","早餐"
"2026年03月11日","支出","餐饮","未关联","14.5",""
"2026年03月11日","支出","餐饮","未关联","13","咖啡"
"2026年03月11日","支出","餐饮","未关联","14",""
"2026年03月10日","支出","餐饮","未关联","7","早餐"
"2026年03月10日","支出","餐饮","未关联","9","午餐"
"2026年03月10日","支出","餐饮","未关联","14",""
"2026年03月10日","支出","餐饮","未关联","3","夜宵"
"2026年03月10日","支出","日用","未关联","3.2","洗衣机"
"2026年03月09日","支出","餐饮","未关联","2.5","早餐"
"2026年03月09日","支出","购物","未关联","0.3","打印"
"2026年03月09日","支出","餐饮","未关联","19","午餐"
"2026年03月09日","支出","日用","未关联","15.9","水费"
"2026年03月09日","支出","餐饮","未关联","15",""
"2026年03月09日","支出","餐饮","未关联","9.9","水"
"2026年03月08日","收入","代剪","未关联","20",""
"2026年03月08日","支出","餐饮","未关联","11",""
"2026年03月08日","收入","代剪","未关联","35",""
"2026年03月08日","支出","购物","未关联","41.9","买书"
"2026年03月08日","支出","餐饮","未关联","13.5",""
"2026年03月08日","收入","工资","未关联","7",""
"2026年03月08日","收入","工资","未关联","3",""
"2026年03月08日","收入","代剪","未关联","25",""
"2026年03月08日","收入","代剪","未关联","20",""
"2026年03月07日","支出","餐饮","未关联","15","华莱士"
"2026年03月07日","支出","购物","未关联","4",""
"2026年03月06日","支出","购物","未关联","15","买vpn"
"2026年03月05日","支出","购物","未关联","23.55","下雨鞋套"
"2026年03月05日","支出","购物","未关联","13.9","鞋子清洁剂"
"2026年03月05日","支出","购物","未关联","2948","买轻薄笔记本"
"2026年03月05日","支出","购物","未关联","9",""
"2026年03月05日","收入","代剪","未关联","10",""
"2026年03月05日","支出","购物","未关联","51.58","买零食"
"2026年03月04日","收入","其它","未关联","10",""
"2026年03月03日","支出","购物","未关联","31","面包奶茶"
"2026年03月02日","支出","餐饮","未关联","16","奶茶"
"2026年03月02日","支出","购物","未关联","20","买酱油"
"2026年03月02日","支出","购物","未关联","19",""
"2026年03月01日","收入","代剪","未关联","25",""
"2026年02月28日","收入","代剪","未关联","15",""
"2026年02月28日","收入","代剪","未关联","3",""
"2026年02月26日","收入","代剪","未关联","47",""
"2026年02月26日","收入","代剪","未关联","12",""
"2026年02月26日","支出","日用","未关联","18","手瓦买皮肤"
"2026年02月26日","收入","代剪","未关联","15",""
"2026年02月26日","支出","购物","未关联","40","衣服"
"2026年02月25日","支出","购物","未关联","236","衣服裤子"
"2026年02月25日","收入","代剪","未关联","40",""
"2026年02月24日","收入","代剪","未关联","15",""
"2026年02月24日","收入","代剪","未关联","15",""
"2026年02月23日","收入","其它","未关联","40","共创"
"2026年02月22日","收入","素材群","未关联","8",""
"2026年02月22日","收入","素材群","未关联","8",""
"2026年02月22日","收入","代剪","未关联","20",""
"2026年02月22日","收入","代剪","未关联","25",""
"2026年02月22日","收入","其它","未关联","10","卖素材"
"2026年02月19日","收入","代剪","未关联","20",""
"2026年02月19日","支出","购物","未关联","20","贴膜"
"2026年02月17日","收入","代剪","未关联","25",""
"2026年02月17日","收入","素材群","未关联","20",""
"2026年02月16日","收入","代剪","未关联","15",""
"2026年02月15日","收入","代剪","未关联","35",""
"2026年02月14日","支出","餐饮","未关联","14","奶茶"
"2026年02月14日","收入","其它","未关联","3",""
"2026年02月13日","支出","购物","未关联","248","充永劫"
"2026年02月13日","收入","其它","未关联","40","共创"
"2026年02月13日","收入","其它","未关联","16.8",""
"2026年02月12日","收入","代剪","未关联","20",""
"2026年02月10日","支出","日用","未关联","10","话费"
"2026年02月10日","收入","其它","未关联","42","代调"
"2026年02月10日","收入","其它","未关联","25",""
"2026年02月09日","支出","购物","未关联","269","买鞋"
"2026年02月09日","支出","购物","未关联","12.88","oppo充电线保护器"
"2026年02月09日","支出","购物","未关联","10.99","手机膜"
"2026年02月05日","支出","日用","未关联","99","话费"
"2026年02月05日","支出","购物","未关联","3.5","买水"
"2026年02月05日","支出","餐饮","未关联","20.74","夜宵"
"2026年02月05日","收入","素材群","未关联","20","素材"
"2026年02月02日","支出","购物","未关联","49",""
"2026年02月02日","收入","代剪","未关联","25",""
"2026年02月01日","收入","代剪","未关联","15",""
"2026年02月01日","支出","购物","未关联","65.1","oppo充电器"
"2026年02月01日","支出","购物","未关联","16.24","手机壳"
"2026年01月31日","收入","素材群","未关联","20",""
"2026年01月29日","收入","代剪","未关联","25",""
"2026年01月29日","收入","代剪","未关联","10",""
"2026年01月29日","支出","购物","未关联","3799","买手机"
"2026年01月28日","收入","代剪","未关联","12",""
"2026年01月28日","收入","素材群","未关联","10",""
"2026年01月27日","收入","代剪","未关联","25",""
"2026年01月26日","支出","购物","未关联","45.5",""
"2026年01月26日","支出","餐饮","未关联","13.9","奶茶"
"2026年01月26日","收入","代剪","未关联","25",""
"2026年01月25日","收入","代剪","未关联","8",""
"2026年01月25日","收入","代剪","未关联","10",""
"2026年01月25日","收入","代剪","未关联","20",""
"2026年01月24日","收入","素材群","未关联","10",""
"2026年01月23日","支出","购物","未关联","31","买泡面"
"2026年01月23日","收入","代剪","未关联","25",""
"2026年01月23日","收入","素材群","未关联","50",""
"2026年01月22日","支出","餐饮","未关联","10.5","买零食"
"2026年01月22日","支出","餐饮","未关联","24.5","午餐"
"2026年01月22日","支出","购物","未关联","120","殷紫萍皮肤"
"2026年01月22日","支出","餐饮","未关联","4","早餐"
"2026年01月21日","收入","代剪","未关联","20",""
"2026年01月21日","支出","餐饮","未关联","8","晚餐"
"2026年01月21日","支出","餐饮","未关联","7.5","晚餐"
"2026年01月21日","支出","日用","未关联","1.4","打印"
"2026年01月21日","支出","餐饮","未关联","4.5",""
"2026年01月21日","支出","餐饮","未关联","7",""
"2026年01月20日","收入","代剪","未关联","20",""
"2026年01月20日","收入","其它","未关联","5",""
"2026年01月20日","收入","素材群","未关联","25",""
"2026年01月20日","支出","餐饮","未关联","11",""
"2026年01月20日","支出","交通","未关联","13.36",""
"2026年01月20日","支出","医疗","未关联","130",""
"2026年01月20日","支出","交通","未关联","13",""
"2026年01月19日","支出","交通","未关联","8",""
"2026年01月19日","支出","餐饮","未关联","16","印度飞饼"
"2026年01月19日","支出","餐饮","未关联","69",""
"2026年01月19日","支出","购物","未关联","3.5","买纸"
"2026年01月19日","支出","餐饮","未关联","11","午餐"
"2026年01月19日","收入","素材群","未关联","25",""
"2026年01月19日","收入","代剪","未关联","25",""
"2026年01月19日","收入","其它","未关联","5",""
"2026年01月19日","收入","其它","未关联","10",""
"2026年01月18日","收入","其它","未关联","40",""
"2026年01月18日","支出","餐饮","未关联","9.5","晚餐"
"2026年01月17日","支出","购物","未关联","32.28","买零食"
"2026年01月17日","支出","交通","未关联","1","公交"
"2026年01月17日","支出","餐饮","未关联","17",""
"2026年01月17日","收入","代剪","未关联","10",""
"2026年01月17日","支出","购物","未关联","13.9",""
"2026年01月17日","收入","代剪","未关联","20",""
"2026年01月17日","收入","代剪","未关联","20",""
"2026年01月17日","支出","餐饮","未关联","18.1","午餐"
"2026年01月16日","支出","餐饮","未关联","11.8","奶茶"
"2026年01月16日","支出","餐饮","未关联","15.8","晚餐"
"2026年01月16日","支出","餐饮","未关联","4","水"
"2026年01月16日","支出","餐饮","未关联","15.5","午餐"
"2026年01月16日","支出","餐饮","未关联","4","早餐"
"2026年01月15日","支出","日用","未关联","15","电费"
"2026年01月15日","支出","餐饮","未关联","13","晚餐"
"2026年01月15日","支出","购物","未关联","25.5","买袜子"
"2026年01月15日","支出","餐饮","未关联","15","午餐"
"2026年01月15日","支出","餐饮","未关联","4","早餐"
"2026年01月14日","支出","餐饮","未关联","19.9","晚餐"
"2026年01月14日","支出","餐饮","未关联","7","水"
"2026年01月14日","支出","日用","未关联","1.8","打印"
"2026年01月14日","支出","餐饮","未关联","14","晚餐"
"2026年01月14日","支出","餐饮","未关联","6",""
"2026年01月13日","支出","餐饮","未关联","15","晚餐"
"2026年01月13日","支出","日用","未关联","6.6","买课设"
"2026年01月13日","收入","代剪","未关联","20",""
"2026年01月13日","支出","餐饮","未关联","14",""
"2026年01月13日","支出","餐饮","未关联","4",""
"2026年01月12日","支出","日用","未关联","100","理发卡"
"2026年01月12日","支出","餐饮","未关联","15",""
"2026年01月12日","支出","餐饮","未关联","10.5","午餐"
"2026年01月12日","支出","餐饮","未关联","3.5","早餐"
"2026年01月11日","支出","餐饮","未关联","15.7","晚餐"
"2026年01月11日","支出","餐饮","未关联","16.5","奶茶"
"2026年01月11日","支出","餐饮","未关联","17","午餐"
"2026年01月10日","收入","代剪","未关联","25",""
"2026年01月10日","支出","餐饮","未关联","18","晚餐"
"2026年01月10日","支出","日用","未关联","0.5","刷赞"
"2026年01月10日","收入","代剪","未关联","18",""
"2026年01月10日","支出","餐饮","未关联","13.1",""
"2026年01月10日","收入","代剪","未关联","30",""
"2026年01月09日","支出","日用","未关联","21","水费"
"2026年01月09日","支出","日用","未关联","5.2","洗衣机"
"2026年01月09日","支出","餐饮","未关联","17","晚餐"
"2026年01月09日","支出","餐饮","未关联","16","奶茶"
"2026年01月09日","支出","餐饮","未关联","11",""
"2026年01月09日","支出","购物","未关联","7.9","买书"
"2026年01月08日","支出","餐饮","未关联","13.5","晚餐"
"2026年01月08日","支出","餐饮","未关联","4","肠"
"2026年01月08日","支出","餐饮","未关联","11.3","午餐"
"2026年01月07日","支出","购物","未关联","25.94","手套买"
"2026年01月07日","支出","餐饮","未关联","11.6",""
"2026年01月07日","支出","餐饮","未关联","12.9","午餐"
"2026年01月06日","支出","餐饮","未关联","5","鸡腿"
"2026年01月06日","支出","餐饮","未关联","4","肠"
"2026年01月06日","支出","日用","未关联","3.2","洗衣机"
"2026年01月06日","支出","餐饮","未关联","13","午餐"
"2026年01月05日","支出","餐饮","未关联","15",""
"2026年01月05日","支出","餐饮","未关联","5","水"
"2026年01月05日","支出","餐饮","未关联","11","午餐"
"2026年01月05日","支出","餐饮","未关联","2","早餐"
"2026年01月04日","收入","素材群","未关联","25",""
"2026年01月04日","支出","餐饮","未关联","5","夜宵"
"2026年01月04日","支出","餐饮","未关联","15","晚餐"
"2026年01月04日","支出","购物","未关联","19.9","买面包"
"2026年01月04日","支出","餐饮","未关联","14","午餐"
"2026年01月04日","支出","日用","未关联","2.9","打印"
"2026年01月04日","收入","其它","未关联","10",""
"2026年01月04日","支出","餐饮","未关联","4","早餐"
"2026年01月03日","支出","购物","未关联","87.9","购物买裤子"
"2026年01月03日","支出","餐饮","未关联","12","夜宵四果汤"
"2026年01月03日","支出","餐饮","未关联","15","晚餐"
"2026年01月03日","收入","代剪","未关联","10",""
"2026年01月03日","支出","购物","未关联","84.6","买文具（待报销）"
"2026年01月03日","支出","餐饮","未关联","10.1",""
"2026年01月02日","支出","餐饮","未关联","3.5","肠"
"2026年01月02日","支出","餐饮","未关联","12",""
"2026年01月02日","收入","代剪","未关联","20",""
"2026年01月02日","支出","餐饮","未关联","15.6","午餐"
"2026年01月01日","支出","餐饮","未关联","7.5","晚餐"
"2026年01月01日","支出","餐饮","未关联","2","水"
"2026年01月01日","收入","代剪","未关联","13.14",""
"2026年01月01日","收入","素材群","未关联","25",""
"2026年01月01日","支出","餐饮","未关联","18","午餐"
"2025年12月31日","收入","素材群","未关联","25",""
"2025年12月31日","支出","餐饮","未关联","19.1","晚餐"
"2025年12月31日","收入","代剪","未关联","15",""
"2025年12月31日","收入","代剪","未关联","50",""
"2025年12月31日","支出","餐饮","未关联","23.8","午餐"
"2025年12月30日","支出","购物","未关联","6","买皮肤"
"2025年12月30日","支出","餐饮","未关联","14.9","奶茶"
"2025年12月30日","支出","日用","未关联","18","买皮肤"
"2025年12月30日","支出","餐饮","未关联","11",""
"2025年12月29日","支出","餐饮","未关联","17.5",""
"2025年12月29日","支出","日用","未关联","10","电费"
"2025年12月29日","支出","餐饮","未关联","2.99","绿茶"
"2025年12月29日","支出","餐饮","未关联","11.3","午餐"
"2025年12月28日","支出","餐饮","未关联","2.5","晚餐"
"2025年12月28日","支出","餐饮","未关联","10",""
"2025年12月28日","支出","餐饮","未关联","3.09","奶茶"
"2025年12月28日","支出","购物","未关联","15.3","买早餐喝的"
"2025年12月28日","支出","日用","未关联","27","买纸巾"
"2025年12月28日","支出","餐饮","未关联","11.4","午餐"
"2025年12月27日","支出","餐饮","未关联","18.5",""
"2025年12月27日","支出","餐饮","未关联","1","?"
"2025年12月27日","支出","餐饮","未关联","17","午餐"
"2025年12月27日","收入","代剪","未关联","20",""
"2025年12月26日","支出","交通","未关联","5.96","车费"
"2025年12月26日","支出","餐饮","未关联","16.7","早餐"
"2025年12月25日","支出","餐饮","未关联","4.5",""
"2025年12月25日","支出","餐饮","未关联","19.7","晚餐"
"2025年12月25日","支出","购物","未关联","5.2","买洗鞋的"
"2025年12月25日","支出","餐饮","未关联","14",""
"2025年12月25日","收入","代剪","未关联","35",""
"2025年12月24日","支出","餐饮","未关联","9.2","晚餐"
"2025年12月24日","支出","餐饮","未关联","17","奶茶"
"2025年12月24日","支出","餐饮","未关联","12.1","午餐"
"2025年12月23日","支出","餐饮","未关联","16.7","晚餐"
"2025年12月23日","支出","餐饮","未关联","13.8",""
"2025年12月23日","支出","餐饮","未关联","2","早餐"
"2025年12月22日","支出","餐饮","未关联","2.5","夜宵"
"2025年12月22日","支出","餐饮","未关联","15","晚餐"
"2025年12月22日","支出","购物","未关联","5.8","买垃圾袋"
"2025年12月22日","支出","餐饮","未关联","8.8",""
"2025年12月22日","收入","其它","未关联","10",""
"2025年12月22日","支出","餐饮","未关联","4","早餐"
"2025年12月21日","支出","餐饮","未关联","16.5","奶茶"
"2025年12月21日","支出","餐饮","未关联","18","晚餐"
"2025年12月21日","支出","餐饮","未关联","15","午餐"
"2025年12月21日","支出","购物","未关联","30","眼霜"
"2025年12月20日","支出","餐饮","未关联","9.9",""
"2025年12月20日","支出","餐饮","未关联","6.5",""
"2025年12月20日","支出","餐饮","未关联","14","晚餐"
"2025年12月20日","支出","餐饮","未关联","15.9","午餐"
"2025年12月19日","支出","购物","未关联","3","黑笔"
"2025年12月19日","支出","餐饮","未关联","9.9","咖啡"
"2025年12月19日","支出","餐饮","未关联","14","晚餐"
"2025年12月19日","支出","餐饮","未关联","9.9","午餐"
"2025年12月19日","支出","餐饮","未关联","3","买水"
"2025年12月19日","支出","餐饮","未关联","1.74","早餐"
"2025年12月18日","支出","餐饮","未关联","15.68",""
"2025年12月18日","收入","其它","未关联","10","租号"
"2025年12月18日","支出","餐饮","未关联","17","午餐"
"2025年12月18日","支出","餐饮","未关联","3.5","茶派"
"2025年12月18日","支出","餐饮","未关联","4","早餐"
"2025年12月17日","支出","餐饮","未关联","15.5","晚餐"
"2025年12月17日","收入","素材群","未关联","25",""
"2025年12月17日","支出","餐饮","未关联","24.49","午餐"
"2025年12月17日","支出","餐饮","未关联","2","早餐"
"2025年12月17日","收入","素材群","未关联","5",""
"2025年12月17日","支出","购物","未关联","47.5","外套"
"2025年12月16日","支出","日用","未关联","3.3","洗衣机"
"2025年12月16日","支出","餐饮","未关联","2","水"
"2025年12月16日","支出","餐饮","未关联","15","晚餐"
"2025年12月16日","支出","餐饮","未关联","12","午餐"
"2025年12月16日","支出","餐饮","未关联","3.5","早餐"
"2025年12月15日","支出","餐饮","未关联","7.5","夜宵手抓饼"
"2025年12月15日","支出","餐饮","未关联","14","晚餐"
"2025年12月15日","支出","日用","未关联","0.2",""
"2025年12月15日","支出","餐饮","未关联","14","午餐"
"2025年12月15日","支出","日用","未关联","1","纸"
"2025年12月15日","支出","日用","未关联","50",""
"2025年12月15日","收入","素材群","未关联","25",""
"2025年12月14日","支出","餐饮","未关联","15","炖奶"
"2025年12月14日","收入","其它","未关联","10",""
"2025年12月14日","支出","餐饮","未关联","15","午餐"
"2025年12月13日","收入","代剪","未关联","20",""
"2025年12月13日","支出","餐饮","未关联","12","晚餐"
"2025年12月13日","支出","日用","未关联","3.8","打印"
"2025年12月13日","支出","餐饮","未关联","9.9","咖啡"
"2025年12月13日","支出","餐饮","未关联","16.5","午餐"
"2025年12月12日","收入","代剪","未关联","20",""
"2025年12月12日","支出","餐饮","未关联","4.5","营养快线"
"2025年12月12日","支出","餐饮","未关联","5.5",""
"2025年12月12日","支出","餐饮","未关联","10","晚餐"
"2025年12月12日","支出","餐饮","未关联","24","午餐"
"2025年12月12日","支出","餐饮","未关联","4","早餐"
"2025年12月11日","支出","餐饮","未关联","11.9","晚餐"
"2025年12月11日","支出","餐饮","未关联","17.5","晚餐"
"2025年12月11日","支出","购物","未关联","8.94","买草稿纸"
"2025年12月11日","支出","餐饮","未关联","15",""
"2025年12月11日","支出","购物","未关联","5.9",""
"2025年12月11日","支出","餐饮","未关联","3.5","早餐"
"2025年12月10日","支出","日用","未关联","3","洗衣机"
"2025年12月10日","支出","餐饮","未关联","12.78","炖奶"
"2025年12月10日","支出","餐饮","未关联","3.5","早餐"
"2025年12月09日","支出","餐饮","未关联","15","晚餐"
"2025年12月09日","支出","日用","未关联","10","电费"
"2025年12月09日","支出","餐饮","未关联","9.9","午餐"
"2025年12月09日","支出","餐饮","未关联","15","午餐"
"2025年12月09日","支出","购物","未关联","7.41","Pdd购物"
"2025年12月09日","支出","餐饮","未关联","7.5","水"
"2025年12月09日","支出","交通","未关联","10.23",""
"2025年12月09日","支出","交通","未关联","13.45","车费"
"2025年12月09日","支出","医疗","未关联","141.57",""
"2025年12月08日","支出","餐饮","未关联","5","鸡排"
"2025年12月08日","支出","餐饮","未关联","17.5","晚餐"
"2025年12月08日","支出","餐饮","未关联","4","早餐"
"2025年12月08日","支出","餐饮","未关联","10.8","午餐"
"2025年12月07日","收入","代剪","未关联","35",""
"2025年12月07日","支出","餐饮","未关联","2.5","买肠"
"2025年12月07日","支出","餐饮","未关联","21.9","晚餐"
"2025年12月07日","支出","日用","未关联","0.2","打印"
"2025年12月07日","支出","餐饮","未关联","17","奶茶"
"2025年12月07日","收入","代剪","未关联","15",""
"2025年12月07日","支出","餐饮","未关联","14.16","午餐"
"2025年12月06日","支出","交通","未关联","1","公交"
"2025年12月06日","支出","餐饮","未关联","5.5","面包"
"2025年12月06日","支出","交通","未关联","1","公交"
"2025年12月06日","支出","餐饮","未关联","12",""
"2025年12月06日","收入","其它","未关联","10",""
"2025年12月06日","收入","代剪","未关联","25",""
"2025年12月06日","支出","餐饮","未关联","24.3",""
"2025年12月05日","支出","餐饮","未关联","13","奶茶"
"2025年12月05日","支出","餐饮","未关联","21","午餐"
"2025年12月05日","支出","餐饮","未关联","4",""
"2025年12月04日","支出","餐饮","未关联","10","晚餐"
"2025年12月04日","支出","餐饮","未关联","10",""
"2025年12月04日","支出","餐饮","未关联","19","午餐"
"2025年12月04日","支出","购物","未关联","38","买预设"
"2025年12月04日","支出","餐饮","未关联","4",""
"2025年12月03日","支出","餐饮","未关联","17","晚餐"
"2025年12月03日","支出","购物","未关联","1.71","自动铅笔心"
"2025年12月03日","支出","日用","未关联","13.8","水费"
"2025年12月03日","支出","餐饮","未关联","4",""
"2025年12月02日","支出","餐饮","未关联","10","晚餐"
"2025年12月02日","支出","餐饮","未关联","4",""
"2025年12月02日","支出","餐饮","未关联","18.9","奶茶"
"2025年12月02日","支出","餐饮","未关联","14",""
"2025年12月02日","支出","餐饮","未关联","4","早餐"
"2025年12月01日","支出","日用","未关联","2.63","买笔芯"
"2025年12月01日","支出","餐饮","未关联","15.5","晚餐"
"2025年12月01日","支出","购物","未关联","17","买泡面"
"2025年12月01日","支出","日用","未关联","0.3",""
"2025年12月01日","收入","其它","未关联","10",""
"2025年12月01日","支出","餐饮","未关联","11.3","午餐"
"2025年11月30日","支出","餐饮","未关联","6.5","面板"
"2025年11月30日","支出","餐饮","未关联","15","晚餐"
"2025年11月30日","支出","餐饮","未关联","15.1","午餐"
"2025年11月29日","收入","代剪","未关联","25",""
"2025年11月29日","支出","餐饮","未关联","4.5",""
"2025年11月29日","支出","交通","未关联","2","公交"
"2025年11月29日","支出","餐饮","未关联","5","买面包"
"2025年11月29日","支出","餐饮","未关联","20","晚餐"
"2025年11月29日","支出","餐饮","未关联","23.8","午餐"
"2025年11月28日","支出","购物","未关联","17","永劫10琉璃晶"
"2025年11月28日","收入","代剪","未关联","10",""
"2025年11月28日","收入","代剪","未关联","18",""
"2025年11月28日","支出","餐饮","未关联","15","炖奶"
"2025年11月28日","支出","餐饮","未关联","16","华莱士"
"2025年11月27日","支出","餐饮","未关联","1.1","买水"
"2025年11月27日","支出","餐饮","未关联","10",""
"2025年11月27日","支出","餐饮","未关联","15.5","麦记炖奶"
"2025年11月27日","支出","餐饮","未关联","16.2","午餐"
"2025年11月27日","支出","餐饮","未关联","2",""
"2025年11月26日","支出","餐饮","未关联","5",""
"2025年11月26日","支出","餐饮","未关联","6.9","晚餐"
"2025年11月26日","支出","餐饮","未关联","4.8","水"
"2025年11月26日","支出","餐饮","未关联","18.3","午餐"
"2025年11月25日","支出","餐饮","未关联","11.9","晚餐"
"2025年11月25日","支出","餐饮","未关联","3","水"
"2025年11月25日","支出","餐饮","未关联","20.6",""
"2025年11月25日","支出","餐饮","未关联","2","早餐"
"2025年11月24日","支出","餐饮","未关联","15","晚餐"
"2025年11月24日","支出","餐饮","未关联","9.9","咖啡"
"2025年11月24日","支出","餐饮","未关联","13","午餐"
"2025年11月23日","支出","餐饮","未关联","4","咖啡"
"2025年11月23日","支出","餐饮","未关联","17","晚餐"
"2025年11月23日","支出","餐饮","未关联","15.4","午餐"
"2025年11月22日","支出","餐饮","未关联","11","奶茶"
"2025年11月22日","支出","日用","未关联","3",""
"2025年11月21日","收入","其它","未关联","7","卖素材"
"2025年11月21日","支出","购物","未关联","38.86","沐浴露"
"2025年11月21日","支出","日用","未关联","3.2","洗衣机"
"2025年11月21日","支出","餐饮","未关联","5","水"
"2025年11月21日","支出","餐饮","未关联","13.1","晚餐"
"2025年11月21日","支出","数码","未关联","70","清灰"
"2025年11月21日","支出","餐饮","未关联","14","午餐"
"2025年11月21日","支出","餐饮","未关联","2","早餐"
"2025年11月20日","支出","餐饮","未关联","6.5","晚餐"
"2025年11月20日","支出","购物","未关联","9.5","买衣架"
"2025年11月20日","收入","其它","未关联","7","找素材"
"2025年11月20日","支出","餐饮","未关联","11.5","午餐"
"2025年11月20日","支出","购物","未关联","35.7","裤子"
"2025年11月19日","支出","餐饮","未关联","16.3","晚餐"
"2025年11月19日","支出","餐饮","未关联","14.6","古茗"
"2025年11月19日","支出","餐饮","未关联","14","午餐"
"2025年11月18日","支出","餐饮","未关联","26.2","维维豆奶"
"2025年11月18日","支出","餐饮","未关联","4.5","水"
"2025年11月18日","支出","餐饮","未关联","10.8",""
"2025年11月17日","支出","餐饮","未关联","14.36","晚餐"
"2025年11月17日","支出","餐饮","未关联","8.8","午餐"
"2025年11月16日","支出","餐饮","未关联","12","晚餐"
"2025年11月16日","支出","餐饮","未关联","13.5","杨枝甘露"
"2025年11月16日","支出","餐饮","未关联","16","午餐"
"2025年11月15日","支出","餐饮","未关联","6.9","泡面"
"2025年11月15日","收入","代剪","未关联","15",""
"2025年11月15日","支出","日用","未关联","192","配眼镜"
"2025年11月15日","支出","购物","未关联","14.6","维维豆奶"
"2025年11月15日","支出","餐饮","未关联","8.1","午餐"
"2025年11月15日","收入","其它","未关联","5","卖素材"
"2025年11月14日","收入","代剪","未关联","10",""
"2025年11月14日","收入","代剪","未关联","15",""
"2025年11月14日","支出","购物","未关联","49.9","飞天小女警"
"2025年11月14日","支出","购物","未关联","10.9",""
"2025年11月14日","支出","餐饮","未关联","9.9","奥利奥"
"2025年11月14日","支出","餐饮","未关联","79.9","晚餐"
"2025年11月14日","支出","餐饮","未关联","12.9","午餐"
"2025年11月13日","收入","代剪","未关联","15",""
"2025年11月13日","支出","餐饮","未关联","21","晚餐"
"2025年11月13日","支出","餐饮","未关联","21.9","午餐"
"2025年11月12日","支出","餐饮","未关联","23",""
"2025年11月12日","收入","其它","未关联","5","卖素材"
"2025年11月12日","支出","购物","未关联","2.8","鼠标垫"
"2025年11月12日","支出","餐饮","未关联","9.9","咖啡"
"2025年11月12日","支出","餐饮","未关联","14",""
"2025年11月12日","支出","购物","未关联","71.8","买doa6"
"2025年11月12日","支出","餐饮","未关联","4",""
"2025年11月11日","收入","加后期","未关联","10",""
"2025年11月11日","支出","餐饮","未关联","17","晚餐"
"2025年11月11日","支出","餐饮","未关联","11.7",""
"2025年11月10日","收入","代剪","未关联","10",""
"2025年11月10日","收入","代剪","未关联","20",""
"2025年11月10日","支出","餐饮","未关联","6.9","晚餐"
"2025年11月10日","支出","餐饮","未关联","16.9","午餐"
